Term,Definition,Example
3D pose estimation,Predicting the orientation and position of objects or body joints in three-dimensional space from one or more images.,Estimating the skeleton joint angles of a person from a single camera frame for augmented-reality fitness coaching.
3D reconstruction,Building a 3D model or surface of a scene or object by integrating information from multiple views or depth sensors.,Generating a textured mesh of a building facade using drone-captured photographs.
activity recognition,Automatically classifying human actions or behaviors in videos or image sequences by analyzing motion and appearance cues.,Detecting when someone falls versus when they sit down in a nursing-home surveillance system.
actual intensity,The measured brightness value of a pixel in an image,A grayscale pixel value of 120 on a 0–255 scale
AlexNet,"Landmark eight-layer CNN that popularized deep learning for image classification, using ReLU, dropout, and data augmentation to win ImageNet 2012.","Retraining AlexNet on a custom fruit-classification dataset to distinguish apples, bananas, and cherries."
aliasing,"Distortion that occurs when a continuous signal is sampled below twice its highest frequency, causing spurious patterns.",Moiré fringes appearing when scanning a finely striped fabric at low resolution.
analog image,A continuous-tone representation of a scene where brightness varies smoothly without discrete steps.,A piece of photographic film capturing a landscape’s nuances in light and shadow.
Apollo missions,NASA crewed lunar programs (1961–1972) that carried specialized film and digital cameras to capture lunar surface imagery.,Apollo 11’s Hasselblad 70 mm film camera documenting Neil Armstrong’s first steps.
artificial intelligence,"Field of computer science dedicated to creating systems that perform tasks typically requiring human intelligence, such as learning and reasoning.",A chatbot using natural-language understanding to answer customer-service queries.
artificial light,Illumination originating from man-made sources,Using an LED ring to light a product for inspection
artistic effects,Stylized transformations applied to images to mimic traditional art techniques or create novel looks.,Converting a photo into an oil-painting–style rendering with brush-stroke textures.
augmented reality,Overlaying computer-generated graphics or information onto live camera views to enrich perception of the real world.,Pokémon characters appearing on a smartphone screen as if they inhabit the user’s surroundings.
auto-detected features,"Image features (keypoints, edges, regions) identified by an algorithm without manual intervention.",SIFT extracting salient corner points from a building image for matching across multiple photos.
autoencoders,"Neural networks that learn to compress (encode) data into a lower-dimensional representation and reconstruct (decode) it, often for denoising or reduction.",A denoising autoencoder trained to remove Gaussian noise from face images.
autonomous navigation,Self-driving agents planning and controlling their path in an environment without human input.,A delivery drone using onboard cameras and lidar to navigate city streets and avoid obstacles.
autonomous perception,"Machines sensing and interpreting their environment (objects, terrain, motion) in real time without human guidance.",A warehouse robot detecting and classifying packages on a conveyor belt to route them correctly.
autonomous system,"Integrated system combining perception, planning, and actuation to operate independently in complex environments.",An unmanned underwater vehicle mapping coral reefs and adjusting its course to avoid reefs.
Bartlane service,Early photo-telegraphic service (1920s) for transmitting reconnaissance and mapping imagery via radio-teletype lines.,U.S. Navy ships sending low-resolution aerial photos back to shore stations using Bartlane Service links.
Bartlane system,End-to-end hardware and protocol suite for automated photogrammetric image transmission over long distances.,WWII reconnaissance planes feeding film images through Bartlane System modems to distant processing centers.
binary image,Image with two intensity levels (black & white),Thresholded document scan used as a mask
black & white,"Imagery represented using a single intensity channel, ranging from black to white (or digitally, 0–255 in 8-bit).",A newspaper photograph scanned as an 8-bit grayscale image for archival.
blind convolution,Convolution operation performed when the blur kernel is unknown—both the latent sharp image and kernel must be estimated.,Restoring a motion-blurred security-camera frame without knowing the camera’s shake pattern.
blurring,"Reducing detail or noise by convolving an image with a low-pass filter, which smooths intensity variations.",Applying a Gaussian blur to soften background details in portrait photography.
BMP file type,Uncompressed raster format from Windows with large file sizes,Raw screenshot saved as screen.bmp
brightness adaptation,The process by which visual systems adjust sensitivity to different lighting levels over time.,Eyes adjusting to darkness when you enter a dimly lit movie theater.
brightness discrimination,The ability to perceive small differences in luminance between adjacent areas.,Detecting a 1% change in grayscale intensity between two neighboring patches.
C/C++,"General-purpose, compiled programming languages commonly used to implement high-performance vision and image-processing algorithms.",Writing an OpenCV-based real-time face‐detection module in C++.
candela,SI unit of luminous intensity quantifying light emitted by a source in a given direction.,Calibrating a studio strobe light to emit exactly 1 000 cd for repeatable product photography.
Canny,A multi-stage edge detection algorithm,Applying Canny to highlight object boundaries in a scene
Canny edge detector,Implementation of the Canny algorithm that detects edges via gradient and hysteresis,Detecting road lane markings in a dash-cam image
CAT scan,Computerized Axial Tomography; X-ray source and detectors rotate around the body to acquire cross-sectional images.,A hospital CT scanner producing slice-by-slice images of a patient’s skull to detect fractures.
CCD arrays,"Charge-Coupled Device sensors convert incoming photons into electronic charges, then read out pixel values sequentially.",A scientific CCD camera in astrophotography capturing faint starlight with high quantum efficiency.
ciliary muscles,Eye muscles that adjust the lens’s shape for focusing,Shifting focus from reading a book to looking at a distant object
class labels,Categorical annotations assigned to training samples in supervised learning to guide model training.,"Tagging thousands of street-view images with “pedestrian,” “bicycle,” or “vehicle” for an autonomous-driving dataset."
class targets,Desired labels used in supervised learning,“Cat” or “Dog” labels for an image classifier
clustering,Unsupervised learning technique that groups data points into clusters based on similarity metrics.,"Segmenting satellite images into land-cover classes (water, forest, urban) using K-means clustering."
CMOS arrays,Complementary Metal–Oxide–Semiconductor sensors integrate photon-to-voltage conversion and readout circuitry per pixel on–chip.,A smartphone camera using a CMOS sensor to capture HDR video at 4 K resolution.
CMY,"Color model using cyan, magenta, and yellow subtractive primaries",Printing full-color photographs on paper
CMY color space,"Subtractive model using cyan, magenta, yellow",Pre-press color correction using CMY mixing
CMYK,"Subtractive color model (Cyan, Magenta, Yellow, Key/Black) used in printing to reproduce full-color images.",Separating a digital photograph into CMYK channels before sending to a commercial four-color offset press.
CMYK color space,CMY plus black (Key) channel for print workflows,Commercial printing with CMYK separations
CNNs,Convolutional Neural Networks designed for grid-structured data,Using ResNet-50 to classify ImageNet pictures
COCO,"Common Objects in Context; large-scale dataset of everyday scenes annotated for object detection, segmentation, and captioning.",Training a Mask R-CNN model on COCO’s 80 object categories for instance segmentation in crowd scenes.
color adjustment,Modifying an image’s color properties,Increasing saturation and contrast in a portrait
color image processing,"Techniques specifically designed to analyze or enhance full-color images in various color spaces (RGB, HSV, Lab, etc.).",Converting a RAW underwater photo to Lab color space to correct greenish hues and restore natural tones.
color model,Mathematical structure defining how colors are represented (channels/components),"CMYK model using cyan, magenta, yellow, black"
color shade,What artists call HSV saturation.,Maroon produced by shading red with black
color space,Coordinate system describing colors numerically,"RGB space with axes R, G, B from 0 to 255"
color tint,What artists call HSV hue.,Pink created by tinting red with white
color tone,What artists call HSV value.,Dusty rose achieved by toning red with gray
compositing,"Combining multiple image or video layers using alpha blending, masks, and transforms to create a single coherent scene.",Merging actors filmed on a green screen into a digitally created fantasy environment for a movie scene.
Computer Vision,"Subfield of AI focused on enabling machines to interpret, analyze, and make decisions based on visual data.",Deploying object-detection networks on traffic cameras to count vehicles and detect incidents.
Computer Vision Toolbox,"MATLAB toolbox providing algorithms for camera calibration, feature detection, object recognition, and 3D vision workflows.",Using detectSURFFeatures in MATLAB to extract keypoints for panorama stitching.
cones,Retinal cells responsible for color vision,"Distinguishing red, green, and blue hues in daytime scenes"
continuous,A signal or image defined over a continuous domain (space or time) rather than at discrete samples.,Light intensity varying smoothly across the sky in a sunset photograph (before digitization).
contrast,"The ratio or difference between the darkest and brightest parts of an image, affecting perceived sharpness and detail.",A black-and-white portrait with stark blacks and bright whites for dramatic effect.
Convolutional Neural Network (CNN),"Specialized deep network applying learnable convolution filters to extract spatial hierarchies of features, widely used in image tasks.",VGG-16 applying 3×3 convolution kernels and max-pooling to classify objects in photos.
CT scan,"Computed Tomography; synonymous with CAT scan, combines multiple X-ray images taken from different angles to form 3D volumes.",A CT scan of the chest used to visualize lung nodules in oncology screening.
CUDA,NVIDIA’s parallel computing platform and API for accelerating compute-intensive operations on GPUs.,Offloading convolution operations in a deep learning model to CUDA-enabled GPUs for faster training.
CV,"Abbreviation for Computer Vision, the field focused on enabling machines to interpret and act on visual data.",Implementing CV algorithms to detect and track faces in security footage.
deblurring,"Restoring image sharpness by reversing the blurring process, often via inverse filtering or optimization.",Using a Wiener filter to correct motion blur from a hand-held camera shot.
decision trees,Tree-structured models that split data by feature tests,Classifying traffic signs by shape and color
deep learning,Subfield of machine learning using multi-layered neural networks to automatically learn hierarchical feature representations from data.,Training a network on ImageNet to learn edges in early layers and object parts in deeper layers.
deep learning pipeline,"End-to-end workflow covering data collection, preprocessing, model design, training, evaluation, and deployment for deep models.","Building a pipeline that loads COCO images, applies augmentations, trains a YOLO detector, and exports it to ONNX for edge."
deep learning-based techniques,"Methods leveraging deep neural networks—such as transfer learning, attention mechanisms, and GANs—for advanced image analysis and synthesis.",Using a GAN to generate high-resolution satellite images conditioned on low-res input.
deep neural network,"Neural network architecture with multiple hidden layers between input and output, enabling learning of complex patterns.",A 10-layer network trained for semantic segmentation of urban street scenes.
denoising,Removing random variations (noise) from an image while preserving important structures and edges.,Applying a median filter to eliminate salt-and-pepper noise on a scanned document.
DenseNet,"CNN architecture where each layer receives feature maps from all preceding layers, improving gradient flow and parameter efficiency.",Using DenseNet-121 for transfer learning on medical X-ray images to detect pneumonia.
DenseNet-201,"A deeper variant of DenseNet with 201 layers, offering more capacity and refined feature reuse for complex recognition tasks.",Fine-tuning DenseNet-201 on a skin-lesion dataset for melanoma detection.
digital image,"A representation of a scene as a grid of discrete pixels, each with quantized intensity values.",A 1024×768 JPEG photo where each pixel holds an 8-bit color value.
Digital Image Processing,Scientific and engineering discipline concerned with the mathematical manipulation of pixel arrays to enhance or extract information.,Applying morphological filters to a scanned fingerprint for a forensic database.
DIP,Digital Image Processing: the manipulation of images via digital computation,Performing histogram equalization on a medical X-ray
discrete,"Defined only at separate, distinct points rather than over a continuous range.",Pixel values sampled at integer row and column indices in a raster image.
discrete quantity levels,The finite set of possible values (quantization levels) an image sample can take.,An 8-bit grayscale image with 256 possible intensity levels per pixel.
discrete time intervals,Fixed sampling instants at which a time-varying signal (like video) is recorded.,Capturing video frames at exactly 30 frames per second.
DMSP instruments,"Sensors aboard the U.S. Defense Meteorological Satellite Program for nighttime Earth-view imaging, notably the Operational Linescan System.",Night-time city-light imagery from DMSP satellites used in urban growth studies.
DPI,"Dots Per Inch; measure of spatial printing or scanning resolution, indicating how many individual dots or samples fit into one inch.",Setting a scanner to 600 DPI to digitize a printed photograph with fine detail.
driverless cars,Autonomous vehicles relying on CV and sensors to navigate,Tesla Autopilot using cameras to stay in lane
drizzling technique,Super-resolution method combining dithered images to increase detail,Enhancing Hubble Space Telescope photos for finer star field resolution
DSLR,Digital Single-Lens Reflex camera uses a mirror/prism system to direct light to an optical viewfinder and an image sensor.,A professional photographer using a full-frame DSLR to shoot wildlife with a 400 mm telephoto lens.
DSP boards,Digital Signal Processing hardware accelerators equipped with specialized processors and memory for real-time image signal tasks.,An embedded DSP board in a video conferencing system performing live background segmentation.
dynamic range extension,Techniques to increase the captured or displayed intensity range of an image beyond standard limits.,Merging multiple exposures into a single HDR image to reveal both shadow and highlight detail.
EfficientNet,"Family of CNNs that scale depth, width, and resolution using a compound coefficient, achieving state-of-the-art accuracy with fewer parameters.",Deploying EfficientNet-B0 on mobile devices for real-time object detection in AR applications.
electro-microscopic image,High-resolution images formed by scanning or transmission electron microscopes using accelerated electron beams instead of light.,A TEM (Transmission Electron Microscope) image revealing the lattice structure of a metal alloy.
electromagnetic spectrum,"The full range of wavelengths of electromagnetic radiation, from gamma rays to radio waves.",Visible light (400–700 nm) used by cameras to form standard photographs.
EmguCV,A .NET wrapper for OpenCV that brings OpenCV’s computer vision capabilities into C# and VB.NET applications.,Using EmguCV in C# to perform real-time Canny edge detection on a live webcam feed.
EPS file type,Encapsulated PostScript vector format for illustrations,A company logo in logo.eps for publication
eye tracking,Measuring and analyzing the point of gaze and eye motion dynamics to infer user attention and intent.,Using an infrared-based eye-tracker to study how users read a news website layout.
